Date,Description,Amount
2026-04-01,ACME CORP PAYROLL DIRECT DEPOSIT,5200.00
2026-04-02,GREENVIEW APARTMENTS RENT,-1850.00
2026-04-03,WHOLE FOODS MARKET,-142.36
2026-04-05,STARBUCKS STORE #1123,-8.75
2026-04-06,SHELL OIL GAS STATION,-52.10
2026-04-07,NETFLIX SUBSCRIPTION,-15.99
2026-04-08,AMAZON MARKETPLACE,-67.43
2026-04-10,COMCAST INTERNET,-79.99
2026-04-11,CHIPOTLE ONLINE,-13.45
2026-04-12,TRADER JOE'S,-88.20
2026-04-14,UBER TRIP,-21.30
2026-04-15,TRANSFER TO VANGUARD SAVINGS,-500.00
2026-04-18,DOORDASH ORDER,-34.80
2026-04-20,CVS PHARMACY,-24.15
2026-04-22,SPOTIFY PREMIUM,-10.99
2026-04-24,TARGET STORE,-119.87
2026-04-27,SHELL OIL GAS STATION,-48.65
2026-04-29,STARBUCKS STORE #1123,-9.20
2026-05-01,ACME CORP PAYROLL DIRECT DEPOSIT,5200.00
2026-05-02,GREENVIEW APARTMENTS RENT,-1850.00
2026-05-03,WHOLE FOODS MARKET,-168.92
2026-05-04,DOORDASH ORDER,-41.20
2026-05-05,STARBUCKS STORE #1123,-11.40
2026-05-06,AMAZON MARKETPLACE,-212.55
2026-05-08,COMCAST INTERNET,-79.99
2026-05-09,UBER EATS,-38.90
2026-05-10,CHIPOTLE ONLINE,-14.10
2026-05-11,SHELL OIL GAS STATION,-55.40
2026-05-13,NETFLIX SUBSCRIPTION,-15.99
2026-05-14,BEST BUY ELECTRONICS,-349.99
2026-05-16,TRADER JOE'S,-94.65
2026-05-18,DOORDASH ORDER,-46.75
2026-05-20,SPOTIFY PREMIUM,-10.99
2026-05-21,LYFT RIDE,-27.50
2026-05-23,AMAZON MARKETPLACE,-98.30
2026-05-25,RESTAURANT THE BISTRO,-112.40
2026-05-27,CVS PHARMACY,-31.20
2026-05-29,STARBUCKS STORE #1123,-12.85
